Garanti-vogn nr.;Vogntype
1;2
2;2
3;2
4;2
6;2
8;2
9;2
10;2
12;2
13;2
16;2
18;2
19;2
22;2
24;2
26;2
27;5
30;6
31;6
32;5
33;5
34;5
36;5
38;5
39;5
41;5
42;5
43;5
44;6
45;6
46;6
47;6
48;6
49;6
50;6
51;6
52;6
53;6
54;6
55;2
56;2
57;6
58;6
59;2
60;5
61;6
62;6
63;2
64;2
65;5
66;6
67;6
68;6
69;2
70;5
71;6
72;6
73;2
74;2
75;5
76;6
77;6
78;6
79;6
80;2
81;6
82;6
83;6
84;6
85;6
86;6
87;2
88;2
89;6
90;5
91;6
92;2
93;5
94;6
95;3
96;3
4000;6
4001;6
4002;6
4003;6
4004;6
4005;6
4006;6
4007;6
4008;6
4063;2
4064;2
4065;2
4066;2
4067;2
4068;2
4069;2
4070;2
4071;2
4009;6
4010;6
4011;6
4012;5
4013;5
4014;5
4016;6
4017;6
4018;6
4019;5
4020;5
4021;5
4022;5
4073;2
4074;2
4075;2
4076;2
4023;5
4078;2
4025;6
4026;6
4027;6
4028;5
4029;5
4030;6
4031;6
4032;6
4033;5
4034;6
4079;2
4080;2
4081;2
4035;6
4036;5
4037;5
4038;6
4039;6
4040;5
4082;2
4083;2
4041;6
4042;5
4043;6
4044;6
4045;5
4046;5
4084;2
4085;2
4086;2
4047;6
4048;5
4049;5
4087;2
4088;2
4089;2
4050;5
4051;5
4052;5
4053;5
4090;2
4091;2
4054;5
4092;2
4055;5
4056;5
4093;2
4057;6
4058;6
4059;5
4060;6
4061;5
4062;5
4094;2
4095;2
4096;2
4097;2
4098;2
4099;2
2502;2
2503;2
2504;2
2505;2
2506;2
2507;2
2508;2
2509;5
2510;5
2511;5
2512;5
2513;5
2514;5
2515;5
2516;5
2517;5
2518;5
2519;5
2520;5
2521;5
2522;5
2523;5
2524;5
2525;5
2526;5
2527;5
2528;5
2529;5
2530;5
2531;5
2532;5
2533;5
2534;5
2535;5
2536;5
2537;6
2538;6
2539;6
2540;6
2541;6
2542;6
2543;6
2544;6
2545;6
2546;6
2547;6
2573;6
2500;6
2548;2
2549;5
2550;5
2551;5
2552;6
2553;2
2554;2
2555;5
2556;5
2557;5
2558;6
2559;5
2560;5
2561;5
2562;6
2563;2
2564;2
2565;2
2566;5
2567;5
2568;6
2569;2
2570;5
2571;5
2572;6
2574;2
2575;2
2576;5
2577;5
2578;6
2579;2
2580;5
2581;5
2582;5
2583;6
2585;7
